YEAR,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
1980,Male,Black,Under 18,Alameda County,505,1351,188,26,79,2149,2286,295
1980,Male,Black,18 to 19,Alameda County,205,465,183,8,48,909,1333,0
1980,Male,Black,20 to 29,Alameda County,949,1593,606,27,178,3353,7974,0
1980,Male,Black,30 to 39,Alameda County,450,755,241,18,110,1574,4876,0
1980,Male,Black,40 to 69,Alameda County,172,218,117,11,66,584,3836,0
1980,Male,Black,70 and over,Alameda County,4,2,2,0,0,8,79,0
1980,Male,Hispanic,Under 18,Alameda County,151,365,40,9,77,642,1303,187
1980,Male,Hispanic,18 to 19,Alameda County,83,89,48,0,58,278,963,0
1980,Male,Hispanic,20 to 29,Alameda County,226,243,158,13,86,726,3748,0
1980,Male,Hispanic,30 to 39,Alameda County,59,80,41,8,33,221,1669,0
1980,Male,Hispanic,40 to 69,Alameda County,30,16,16,4,13,79,1287,0
1980,Male,Hispanic,70 and over,Alameda County,0,0,2,0,0,2,13,0
1980,Male,Other,Under 18,Alameda County,40,78,7,2,15,142,309,37
1980,Male,Other,18 to 19,Alameda County,15,29,10,0,14,68,191,0
1980,Male,Other,20 to 29,Alameda County,36,54,30,4,22,146,828,0
1980,Male,Other,30 to 39,Alameda County,22,19,9,2,9,61,511,0
1980,Male,Other,40 to 69,Alameda County,9,10,1,1,2,23,361,0
1980,Male,Other,70 and over,Alameda County,0,0,0,1,0,1,8,0
1980,Male,White,Under 18,Alameda County,204,1237,145,31,117,1734,3861,695
1980,Male,White,18 to 19,Alameda County,120,373,175,5,114,787,2997,0
1980,Male,White,20 to 29,Alameda County,411,735,694,24,282,2146,11693,0
1980,Male,White,30 to 39,Alameda County,198,257,227,27,114,823,5490,0
1980,Male,White,40 to 69,Alameda County,103,101,55,29,62,350,4883,0
1980,Male,White,70 and over,Alameda County,1,0,0,0,1,2,131,0
1980,Female,Black,Under 18,Alameda County,61,165,8,1,6,241,700,260
1980,Female,Black,18 to 19,Alameda County,28,60,6,0,6,100,302,0
1980,Female,Black,20 to 29,Alameda County,129,378,82,2,28,619,1645,0
1980,Female,Black,30 to 39,Alameda County,67,118,44,1,15,245,701,0
1980,Female,Black,40 to 69,Alameda County,23,33,12,0,5,73,344,0
1980,Female,Black,70 and over,Alameda County,1,0,0,0,0,1,5,0
1980,Female,Hispanic,Under 18,Alameda County,14,45,6,0,2,67,303,146
1980,Female,Hispanic,18 to 19,Alameda County,7,13,7,0,4,31,122,0
1980,Female,Hispanic,20 to 29,Alameda County,14,34,33,0,3,84,401,0
1980,Female,Hispanic,30 to 39,Alameda County,6,14,7,0,3,30,180,0
1980,Female,Hispanic,40 to 69,Alameda County,2,4,3,0,0,9,131,0
1980,Female,Other,Under 18,Alameda County,2,14,0,0,1,17,72,55
1980,Female,Other,18 to 19,Alameda County,1,4,2,0,0,7,39,0
1980,Female,Other,20 to 29,Alameda County,8,15,6,0,1,30,174,0
1980,Female,Other,30 to 39,Alameda County,5,7,4,0,0,16,111,0
1980,Female,Other,40 to 69,Alameda County,1,3,0,0,0,4,80,0
1980,Female,Other,70 and over,Alameda County,0,0,0,0,0,0,2,0
1980,Female,White,Under 18,Alameda County,30,126,46,0,12,214,882,663
1980,Female,White,18 to 19,Alameda County,12,40,44,0,5,101,460,0
1980,Female,White,20 to 29,Alameda County,59,171,198,0,41,469,2119,0
1980,Female,White,30 to 39,Alameda County,28,49,53,2,10,142,1047,0
1980,Female,White,40 to 69,Alameda County,13,14,13,1,9,50,874,0
1980,Female,White,70 and over,Alameda County,0,0,0,0,0,0,18,0
1980,Male,Other,20 to 29,Alpine County,0,0,0,0,0,0,2,0
1980,Male,Other,30 to 39,Alpine County,0,0,0,0,1,1,0,0
1980,Male,White,Under 18,Alpine County,0,2,0,0,0,2,18,0
1980,Male,White,18 to 19,Alpine County,0,3,0,0,0,3,38,0
1980,Male,White,20 to 29,Alpine County,1,3,1,0,0,5,33,0
1980,Male,White,30 to 39,Alpine County,0,1,1,1,0,3,5,0
1980,Male,White,40 to 69,Alpine County,0,0,0,0,0,0,4,0
1980,Female,Other,Under 18,Alpine County,0,0,0,0,0,0,0,1
1980,Female,White,Under 18,Alpine County,0,0,0,0,0,0,4,0
1980,Female,White,18 to 19,Alpine County,0,0,0,0,0,0,5,0
1980,Female,White,20 to 29,Alpine County,0,0,0,0,0,0,9,0
1980,Female,White,30 to 39,Alpine County,0,0,0,0,0,0,1,0
1980,Male,Hispanic,Under 18,Amador County,0,0,0,0,0,0,3,1
1980,Male,Hispanic,18 to 19,Amador County,0,0,0,0,0,0,2,0
1980,Male,Hispanic,20 to 29,Amador County,1,0,0,0,0,1,5,0
1980,Male,Hispanic,30 to 39,Amador County,0,1,0,0,0,1,6,0
1980,Male,Hispanic,40 to 69,Amador County,0,0,0,0,0,0,2,0
